SAMPLE ID	VOLUME (ul)	CONCENTRATION (ng/ul)	QUANTITY (ng)	QUANTIFICATION METHOD	NOTES	Sequencing Depth
SFRC01036_1AA	43	8.29	350	Qubit	FFPE Tumour	120x
SFRC01057_1.4	40	10	400	Qubit	FFPE Tumour	120x
SFRC01057_A4	40	10	400	Qubit	FFPE Tumour	120x
SFRC01057_7	40	10	400	Qubit	FFPE Tumour	120x
SFRC01062_1F	40	10	400	Qubit	FFPE Tumour	120x
SFRC01064_1B	40	10	400	Qubit	FFPE Tumour	120x
SFRC01072_1A	40	10	400	Qubit	FFPE Tumour	120x
SFRC01072_1P	40	10	400	Qubit	FFPE Tumour	120x
SFRC01082_1B	40	10	400	Qubit	FFPE Tumour	120x
SFRC01095_1K	40	10	400	Qubit	FFPE Tumour	120x
SFRC01095_S2	40	10	400	Qubit	snap frozen tumour	120x
SFRC01095S2_T1(PDX)	40	10	400	Qubit	snap frozen tumour	120x
SFRC01096_1C	40	10	400	Qubit	FFPE Tumour	120x
SFRC01096_08T	40	10	400	Qubit	FFPE Tumour	120x
SFRC01096_17T	40	10	400	Qubit	FFPE Tumour	120x
SFRC01264_3H	40	10	400	Qubit	FFPE Tumour	120x
SFRC01293_3D	40	10	400	Qubit	FFPE Tumour	120x
SFRC01100_1F	40	10	400	Qubit	FFPE Tumour	120x
SFRC01283_1F	40	10	400	Qubit	FFPE Tumour	120x
SFRC01292_1.3_1	40	10	400	Qubit	FFPE Tumour	120x
SFRC01045_1F_1	40	10	400	Qubit	FFPE Tumour	120x
SFRC01259_2B	40	10	400	Qubit	FFPE Tumour	120x
SFRC01202_1F	40	10	400	Qubit	FFPE Tumour	120x
SFRC01129_N	40	12.5	500	Qubit	FFPE Tumour	120x
SFRC01095_B1	40	10	400	Qubit	Germline	60X
SFRC01109_B1	48	8.22	400	Qubit	Germline	60X
SFRC01243_B1	40	10	400	Qubit	Germline	60X
SFRC01264_B1	40	10	400	Qubit	Germline	60X
SFRC01293_B1	40	10	400	Qubit	Germline	60X
SFRC01100_B1	40	10	400	Qubit	Germline	60X
SFRC01283_B1	40	10	400	Qubit	Germline	60X
SFRC01292_B1	40	10	400	Qubit	Germline	60X
SFRC01045_B2	40	10	400	Qubit	Germline	60X
SFRC01259_B1	40	10	400	Qubit	Germline	60X
SFRC01202_B1	40	10	400	Qubit	Germline	60X
SFRC01129_B2	40	10	400	Qubit	Germline	60X
