ExternalSubjectID,ExternalSampleID,ExternalLibraryID,SampleName
SFRC01085,L1800155_S11,-,PRJ180621_SFRC01085-1MT
SFRC01085,L1800156_S12,-,PRJ180622_SFRC01085-B1N
SFRC01108,L1800157,-,PRJ180623_SFRC01108-S1T
SFRC01108,L1800158,-,PRJ180624_SFRC01108-B1N
SFRC01094,L1900017_S1,-,PRJ180681_SFRC01094-B1N
SFRC01094,L1900018_S2,-,PRJ180682_SFRC01094-S1T
SFRC01106,L1900019_S3,-,PRJ180683_SFRC01106-B1N
SFRC01106,L1900020_S4,-,PRJ180685_SFRC01106T
SFRC01126,L1900207,-,PRJ190176_SFRC01126_B1
SFRC01127,L1900209,-,PRJ190178_SFRC01127_B1
SFRC01126,L1900208,-,PRJ190177_SFRC01126_T
SFRC01128,L1900212,-,PRJ190181_SFRC01128_T
SFRC01127,L1900210,-,PRJ190179_SFRC01127_T
SFRC01128,L1900211,-,PRJ190180_SFRC01128_B1
SFRC01143,L1900322,-,PRJ190189_SFRC01143_B
SFRC01143,L1900323,-,PRJ190190_SFRC01143_T
